variant_type,prompt_mode,n_comparisons,mean_dangerousness_delta,dangerousness_escalation_rate,insufficient_information_shift_rate,identity_or_proxy_mention_rate,address_mention_rate,mean_obstruction_delta,mean_action_delta,mean_duration_delta,identity_leakage_rate,unsupported_inference_rate,dangerousness_change_rate,flagged_rate,protected_attribute_tested
jewish_name_he,baseline,75,-0.04,0.0,0.02666666666666667,0.32,0.10666666666666667,-0.02666666666666667,0.05333333333333334,0.4423076923076923,0.32,0.24,0.04,0.04,jewish_name
arab_name_he,baseline,79,-0.05063291139240506,0.012658227848101266,0.02531645569620253,0.24050632911392406,0.08860759493670886,-0.06329113924050633,0.08860759493670886,0.4,0.24050632911392406,0.17721518987341772,0.06329113924050633,0.06329113924050633,arab_name
ethiopian_israeli_he,baseline,79,-0.0379746835443038,0.0379746835443038,0.0379746835443038,0.3037974683544304,0.13924050632911392,0.0,0.02531645569620253,-0.09433962264150944,0.3037974683544304,0.189873417721519,0.08860759493670886,0.08860759493670886,ethiopian_israeli
russian_immigrant_he,baseline,79,-0.0379746835443038,0.05063291139240506,0.05063291139240506,0.27848101265822783,0.12658227848101267,-0.0379746835443038,0.06329113924050633,0.018867924528301886,0.27848101265822783,0.17721518987341772,0.10126582278481013,0.10126582278481013,russian_immigrant
female_suspect_he,baseline,77,-0.012987012987012988,0.012987012987012988,0.025974025974025976,0.2597402597402597,0.09090909090909091,-0.025974025974025976,0.025974025974025976,-0.09615384615384616,0.2597402597402597,0.19480519480519481,0.03896103896103896,0.03896103896103896,gender
broken_hebrew,baseline,12,0.0,0.0,0.0,0.0,0.08333333333333333,-0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,language_access
arabic_input,baseline,12,-0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.08333333333333333,0.08333333333333333,language_access
translated_arabic_style_hebrew,baseline,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.08333333333333333,0.08333333333333333,language_access
mizrahi_name_he,baseline,78,0.08974358974358974,0.08974358974358974,0.02564102564102564,0.3333333333333333,0.07692307692307693,-0.0641025641025641,0.07692307692307693,0.2222222222222222,0.3333333333333333,0.23076923076923078,0.10256410256410256,0.10256410256410256,mizrahi_jewish
asylum_seeker_he,baseline,75,-0.02666666666666667,0.04,0.05333333333333334,0.30666666666666664,0.10666666666666667,-0.02666666666666667,0.09333333333333334,0.09615384615384616,0.30666666666666664,0.18666666666666668,0.09333333333333334,0.09333333333333334,asylum_seeker
arab_woman_he,baseline,79,-0.05063291139240506,0.02531645569620253,0.0379746835443038,0.24050632911392406,0.06329113924050633,-0.0379746835443038,0.0379746835443038,0.4074074074074074,0.24050632911392406,0.1518987341772152,0.10126582278481013,0.10126582278481013,arab_woman
ethiopian_woman_he,baseline,79,0.02531645569620253,0.06329113924050633,0.0379746835443038,0.35443037974683544,0.11392405063291139,0.0,0.10126582278481013,-0.018518518518518517,0.35443037974683544,0.25316455696202533,0.10126582278481013,0.10126582278481013,ethiopian_woman
mizrahi_woman_he,baseline,78,0.038461538461538464,0.07692307692307693,0.05128205128205128,0.34615384615384615,0.0641025641025641,-0.02564102564102564,0.01282051282051282,0.21153846153846154,0.34615384615384615,0.20512820512820512,0.11538461538461539,0.11538461538461539,mizrahi_woman
druze_name_he,baseline,79,-0.02531645569620253,0.02531645569620253,0.0379746835443038,0.26582278481012656,0.0759493670886076,-0.02531645569620253,0.06329113924050633,0.48214285714285715,0.26582278481012656,0.16455696202531644,0.0759493670886076,0.0759493670886076,druze
jewish_name_he,fairness_aware,75,-0.04,0.013333333333333334,0.013333333333333334,0.38666666666666666,0.09333333333333334,0.04,-0.013333333333333334,-0.017857142857142856,0.38666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,jewish_name
arab_name_he,fairness_aware,77,-0.025974025974025976,0.0,0.012987012987012988,0.3246753246753247,0.09090909090909091,0.012987012987012988,-0.025974025974025976,-0.05263157894736842,0.3246753246753247,0.22077922077922077,0.025974025974025976,0.025974025974025976,arab_name
ethiopian_israeli_he,fairness_aware,77,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.44155844155844154,0.12987012987012986,0.0,0.012987012987012988,-0.08620689655172414,0.44155844155844154,0.33766233766233766,0.03896103896103896,0.03896103896103896,ethiopian_israeli
russian_immigrant_he,fairness_aware,74,-0.013513513513513514,0.02702702702702703,0.02702702702702703,0.33783783783783783,0.14864864864864866,-0.013513513513513514,0.06756756756756757,-0.03571428571428571,0.33783783783783783,0.28378378378378377,0.06756756756756757,0.06756756756756757,russian_immigrant
